ID,album,albumPeakPositionUS,year,TrackNumber,title,side,length,key,chords,writers,linkLyrics,lengthS,lyrics,nbreWriters
1,Ramones,111,1976,1,Blitzkrieg Bop,A,2M 12S,A,4,"Tommy Ramone, Dee Dee Ramone",http://www.azlyrics.com/lyrics/ramones/blitzkriegbop.html,132S,"Hey ho, let's go < br>Hey ho, let's go < br>They're forming in a straight line < br>They're going through a tight wind < br>The kids are losing their minds < br>The Blitzkrieg Bop < br>They're piling in the back seat < br>They're generating steam heat < br>Pulsating to the back beat < br>The Blitzkrieg Bop. < br>Hey ho, let's go < br>Shoot'em in the back now < br>What they want, I dont know < br>They're all reved up and ready to go",2
2,Ramones,111,1976,2,Beat On The Brat,A,2M 30S,B,5,Joey Ramone,http://www.azlyrics.com/lyrics/ramones/beatonthebrat.html,150S,"Beat on the brat < br>Beat on the brat < br>Beat on the brat with a baseball bat < br>Oh yeah, oh yeah, uh-oh. < br>What can you do? < br>What can you do? < br>With a brat like that always on your back < br>What can you do? (lose?)",1
3,Ramones,111,1976,3,Judy Is A Punk,A,1M 30S,Eb,3,Joey Ramone,http://www.azlyrics.com/lyrics/ramones/judyisapunk.html,90S,"Jackie is a punk < br>Judy is a runt < br>They both went down to Berlin, joined the Ice Capades < br>And oh, I dont know why < br>Oh, I dont know why < br>Perhaps they'll die, oh yeah <i>[x4]</i> < br>Second verse, same as the first < br><i>[Repeat first verse]</i> < br>Third verse, different from the first < br>Jackie is a punk < br>Judy is a runt < br>They both went down to Frisco, joined the SLA < br>And oh, I dont know why < br>Oh, I dont know why < br>Perhaps they'll die, oh yeah <i>[x4]</i>",1
4,Ramones,111,1976,4,I Wanna Be Your Boyfriend,A,2M 24S,E,4,Tommy Ramone,http://www.azlyrics.com/lyrics/ramones/iwannabeyourboyfriend.html,144S,"Hey, little girl < br>I wanna be your boyfriend < br>Sweet little girl < br>I wanna be your boyfriend < br>Do you love me babe? < br>What do you say? < br>Do you love me babe? < br>What can I say? < br>Because I wanna be your boyfriend",1
5,Ramones,111,1976,5,Chain Saw,A,1M 55S,A,4,Joey Ramone,http://www.azlyrics.com/lyrics/ramones/chainsaw.html,115S,"Oh, oh, oh < br>Sitting here with nothin' to do < br>Sitting here thinkin' only of you < br>But you'll never get out of there < br>She'll never get out of there. < br>Texas chain saw massacre < br>They took my baby away from me < br>But she'll never get out of there < br>She'll never get out of there < br>I dont care, wohoho < br>When I saw her on the corner < br>She told me told me told me told me < br>She wouldn't go far < br>Ooh, now I know I'm so much in love < br>'Cause she's the only girl that I'm ever thinking of",1
6,Ramones,111,1976,6,Now I Wanna Sniff Some Glue,A,1M 34S,A,4,Dee Dee Ramone,http://www.azlyrics.com/lyrics/ramones/nowiwannasniffsomeglue.html,94S,Now I wanna sniff some glue < br>Now I wanna have somethin' to do < br>All the kids wanna sniff some glue < br>All the kids want somethin' to do,1
7,Ramones,111,1976,7,I Don't Wanna Go Down To The Basement,A,2M 35S,E,7,"Dee Dee Ramone, Johnny Ramone",http://www.azlyrics.com/lyrics/ramones/idontwannagodowntothebasement.html,155S,"Hey, daddy-o < br>I dont wanna go down to the basement < br>There's somethin' down there < br>I dont wanna go < br>Hey, Romeo < br>There's somethin' down there < br>I dont wanna go down to the basement",2
8,Ramones,111,1976,8,Loudmouth,B,2M 14S,A,6,"Dee Dee Ramone, Johnny Ramone",http://www.azlyrics.com/lyrics/ramones/loudmouth.html,134S,You're loudmouth baby < br>You better shut up < br>I'm gonna beat you up < br>'Cause you're a loudmouth babe,2
9,Ramones,111,1976,9,Havana Affair,B,2M 0S,B,6,"Dee Dee Ramone, Johnny Ramone",http://www.azlyrics.com/lyrics/ramones/havanaaffair.html,120S,"PT-boat on the way to Havana < br>I used to make a living, man < br>Pickin' the banana. < br>Now I'm a guide for the CIA < br>Hooray for the USA! < br>Baby, baby, make me a loco < br>Baby, baby, make me a mambo < br>Sent to spy on a Cuban talent show < br>First stop- Havana au go-go < br>I used to make a living, man < br>Pickin' the banana < br>Hooray for Havana!",2
10,Ramones,111,1976,10,Listen To My Heart,B,1M 56S,E,7,Dee Dee Ramone,http://www.azlyrics.com/lyrics/ramones/listentomyheart.html,116S,"Next time I'll listen to my heart < br>Next time, well I'll be smart < br>That girl could still be mine < br>But I'm tired of the hurt < br>Tired of tryin' < br>I'm tired of the pain < br>Tired of tryin' < br>I'm tired of cryin'",1
11,Ramones,111,1976,11,53rd & 3rd,B,2M 19S,E,5,Dee Dee Ramone,http://www.azlyrics.com/lyrics/ramones/53rd3rd.html,139S,"If you think you can, well come on man < br>I was a Green Beret in Viet Nam < br>No more of your fairy stories < br>'Cause I got my other worries < br>53rd and 3rd < br>Standing on the street < br>53rd and 3rd < br>I'm tryin' to turn a trick < br>53rd and 3rd < br>You're the one they never pick < br>53rd and 3rd  < br>dont it make you feel sick? < br>Then I took out my razor blade < br>Then I did what God forbade < br>Now the cops are after me < br>But I proved that I'm no sissy",1
