"","region_code","region_name","region_level","n_species","n_checklists"
"1","CA","Canada","country",662,2915663
"2","US","United States","country",1132,19103776
"3","MX","Mexico","country",1089,217238
"4","CA-BC","British Columbia","subnational1",511,552237
"5","CA-ON","Ontario","subnational1",494,1052325
"6","CA-QC","Quebec","subnational1",446,675228
"7","CA-NS","Nova Scotia","subnational1",441,119079
"8","CA-NL","Newfoundland and Labrador","subnational1",403,57667
"9","CA-AB","Alberta","subnational1",393,203451
"10","CA-MB","Manitoba","subnational1",381,92043
"11","CA-NB","New Brunswick","subnational1",380,56586
"12","CA-SK","Saskatchewan","subnational1",376,56815
"13","CA-YT","Yukon Territory","subnational1",311,27178
"14","CA-NT","Northwest Territories","subnational1",273,8002
"15","CA-PE","Prince Edward Island","subnational1",266,9447
"16","CA-NU","Nunavut","subnational1",232,5576
"17","US-CA","California","subnational1",686,1979717
"18","US-TX","Texas","subnational1",656,1215449
"19","US-AZ","Arizona","subnational1",553,590799
"20","US-FL","Florida","subnational1",549,959903
"21","US-NM","New Mexico","subnational1",540,234319
"22","US-OR","Oregon","subnational1",529,597855
"23","US-AK","Alaska","subnational1",510,161987
"24","US-WA","Washington","subnational1",503,648470
"25","US-MA","Massachusetts","subnational1",498,652660
"26","US-CO","Colorado","subnational1",496,543296
"27","US-NY","New York","subnational1",484,1283878
"28","US-VA","Virginia","subnational1",478,527859
"29","US-NC","North Carolina","subnational1",475,353207
"30","US-NV","Nevada","subnational1",474,100445
"31","US-NJ","New Jersey","subnational1",466,534552
"32","US-LA","Louisiana","subnational1",463,157110
"33","US-UT","Utah","subnational1",463,214088
"34","US-KS","Kansas","subnational1",452,169866
"35","US-WI","Wisconsin","subnational1",451,662999
"36","US-MD","Maryland","subnational1",445,580263
"37","US-OK","Oklahoma","subnational1",444,100523
"38","US-AL","Alabama","subnational1",442,116424
"39","US-ME","Maine","subnational1",439,272695
"40","US-CT","Connecticut","subnational1",438,342285
"41","US-PA","Pennsylvania","subnational1",438,848700
"42","US-NE","Nebraska","subnational1",433,92549
"43","US-SC","South Carolina","subnational1",433,221320
"44","US-ID","Idaho","subnational1",431,144929
