"","Prefecture","Kanji","Capital","Region","Major Island","Population¹","Area²","Density³","Distr.","Municip.","ISO","Area code"
"1","Aichi","<U+611B><U+77E5><U+770C>","Nagoya","Chubu","Honshu","7,484,094","5,172.4","1,446.9",7,54,"JP-23","052"
"2","Akita","<U+79CB><U+7530><U+770C>","Akita","Tohoku","Honshu","1,022,839","11,637.54","87.9",6,25,"JP-05","018"
"3","Aomori","<U+9752><U+68EE><U+770C>","Aomori","Tohoku","Honshu","1,308,649","9,645.4","135.7",8,40,"JP-02","017"
"4","Chiba","<U+5343><U+8449><U+770C>","Chiba","Kanto","Honshu","6,224,027","5,157.64","1,206.8",6,54,"JP-12","043"
"5","Ehime","<U+611B><U+5A9B><U+770C>","Matsuyama","Shikoku","Shikoku","1,385,840","5,676.1","244.2",7,20,"JP-38","089"
"6","Fukui","<U+798F><U+4E95><U+770C>","Fukui","Chubu","Honshu","787,099","4,190.43","187.8",7,17,"JP-18","077"
"7","Fukuoka","<U+798F><U+5CA1><U+770C>","Fukuoka","Kyushu","Kyushu","5,102,871","4,986.4","1,023.4",12,60,"JP-40","092"
"8","Fukushima","<U+798F><U+5CF6><U+770C>","Fukushima","Tohoku","Honshu","1,913,606","13,783.75","138.8",13,59,"JP-07","024"
"9","Gifu","<U+5C90><U+961C><U+770C>","Gifu","Chubu","Honshu","2,032,533","10,621.29","191.4",9,42,"JP-21","058"
"10","Gunma","<U+7FA4><U+99AC><U+770C>","Maebashi","Kanto","Honshu","1,973,476","6,362.28","310.2",7,35,"JP-10","027"
"11","Hiroshima","<U+5E83><U+5CF6><U+770C>","Hiroshima","Chugoku","Honshu","2,844,963","8,479.38","335.5",5,23,"JP-34","082"
"12","Hokkaido","<U+5317><U+6D77><U+9053>","Sapporo","Hokkaido","Hokkaido","5,383,579","83,424.22","68.6",66,180,"JP-01","011–016"
"13","Hyogo","<U+5175><U+5EAB><U+770C>","Kobe","Kansai","Honshu","5,536,989","8,400.9","659.1",8,41,"JP-28","017"
"14","Ibaraki","<U+8328><U+57CE><U+770C>","Mito","Kanto","Honshu","2,917,857","6,096.93","478.6",7,44,"JP-08","029"
"15","Ishikawa","<U+77F3><U+5DDD><U+770C>","Kanazawa","Chubu","Honshu","1,154,343","4,186.15","275.8",5,19,"JP-17","076"
"16","Iwate","<U+5CA9><U+624B><U+770C>","Morioka","Tohoku","Honshu","1,279,814","15,275.01","83.8",10,33,"JP-03","019"
"17","Kagawa","<U+9999><U+5DDD><U+770C>","Takamatsu","Shikoku","Shikoku","976,756","1,876.73","520.5",5,17,"JP-37","087"
"18","Kagoshima","<U+9E7F><U+5150><U+5CF6><U+770C>","Kagoshima","Kyushu","Kyushu","1,648,752","9,188.1","179.4",8,43,"JP-46","099"
"19","Kanagawa","<U+795E><U+5948><U+5DDD><U+770C>","Yokohama","Kanto","Honshu","9,127,323","2,415.81","3,778.2",6,33,"JP-14","045"
"20","Kochi Kochi","<U+9AD8><U+77E5><U+770C>","KochiKochi","Shikoku","Shikoku","728,461","7,103.91","102.5",6,34,"JP-39","088"
"21","Kumamoto","<U+718A><U+672C><U+770C>","Kumamoto","Kyushu","Kyushu","1,786,969","7,409.32","241.2",9,45,"JP-43","099"
"22","Kyoto","<U+4EAC><U+90FD><U+5E9C>","Kyoto","Kansai","Honshu","2,610,140","4,612.2","565.9",6,26,"JP-26","017"
"23","Mie","<U+4E09><U+91CD><U+770C>","Tsu","Kansai","Honshu","1,815,827","5,774.39","314.5",7,29,"JP-24","059"
"24","Miyagi","<U+5BAE><U+57CE><U+770C>","Sendai","Tohoku","Honshu","2,334,215","7,282.14","320.5",10,35,"JP-04","022"
"25","Miyazaki","<U+5BAE><U+5D0E><U+770C>","Miyazaki","Kyushu","Kyushu","1,104,377","7,735.31","142.8",6,26,"JP-45","098"
"26","Nagano","<U+9577><U+91CE><U+770C>","Nagano","Chubu","Honshu","2,099,759","13,561.56","154.8",14,77,"JP-20","026"
"27","Nagasaki","<U+9577><U+5D0E><U+770C>","Nagasaki","Kyushu","Kyushu","1,377,780","4,132.32","333.4",4,21,"JP-42","095"
"28","Nara","<U+5948><U+826F><U+770C>","Nara","Kansai","Honshu","1,365,008","3,690.94","369.8",7,39,"JP-29","074"
"29","Niigata","<U+65B0><U+6F5F><U+770C>","Niigata","Chubu","Honshu","2,305,098","12,584.1","183.2",9,30,"JP-15","025"
"30","Oita Oita","<U+5927><U+5206><U+770C>","OitaOita","Kyushu","Kyushu","1,166,729","6,340.61","184",3,18,"JP-44","097"
"31","Okayama","<U+5CA1><U+5C71><U+770C>","Okayama","Chugoku","Honshu","1,922,181","7,114.62","270.2",10,27,"JP-33","086"
"32","Okinawa","<U+6C96><U+7E04><U+770C>","Naha","Kyushu","Ryukyu Islands","1,434,138","2,281","628.7",5,41,"JP-47","098"
"33","Osaka","<U+5927><U+962A><U+5E9C>","Osaka","Kansai","Honshu","8,838,908","1,904.99","4,639.9",5,43,"JP-27","06x"
"34","Saga","<U+4F50><U+8CC0><U+770C>","Saga","Kyushu","Kyushu","833,245","2,440.64","341.4",6,20,"JP-41","095"
"35","Saitama","<U+57FC><U+7389><U+770C>","Saitama","Kanto","Honshu","7,261,271","3,797.75","1,912",8,63,"JP-11","048"
"36","Shiga","<U+6ECB><U+8CC0><U+770C>","Otsu","Kansai","Honshu","1,413,184","4,017.38","351.8",3,19,"JP-25","077"
"37","Shimane","<U+5CF6><U+6839><U+770C>","Matsue","Chugoku","Honshu","694,188","6,708.23","103.5",5,19,"JP-32","085"
"38","Shizuoka","<U+9759><U+5CA1><U+770C>","Shizuoka","Chubu","Honshu","3,701,181","7,778.7","475.8",5,35,"JP-22","054"
"39","Tochigi","<U+6803><U+6728><U+770C>","Utsunomiya","Kanto","Honshu","1,974,671","6,408.09","308.2",5,26,"JP-09","028"
"40","Tokushima","<U+5FB3><U+5CF6><U+770C>","Tokushima","Shikoku","Shikoku","756,063","4,146.93","182.3",8,24,"JP-36","088"
"41","Tokyo","<U+6771><U+4EAC><U+90FD>","Tokyo[18]","Kanto","Honshu","13,513,734","2,190.9","6,168.1",1,39,"JP-13","03x
042"
"42","Tottori","<U+9CE5><U+53D6><U+770C>","Tottori","Chugoku","Honshu","573,648","3,507.05","163.6",5,19,"JP-31","085"
"43","Toyama","<U+5BCC><U+5C71><U+770C>","Toyama","Chubu","Honshu","1,066,883","4,247.61","251.2",2,15,"JP-16","076"
"44","Wakayama","<U+548C><U+6B4C><U+5C71><U+770C>","Wakayama","Kansai","Honshu","963,850","4,724.68","204",6,30,"JP-30","073"
"45","Yamagata","<U+5C71><U+5F62><U+770C>","Yamagata","Tohoku","Honshu","1,122,957","9,323.15","120.4",8,35,"JP-06","023"
"46","Yamaguchi","<U+5C71><U+53E3><U+770C>","Yamaguchi","Chugoku","Honshu","1,405,007","6,112.3","229.9",4,19,"JP-35","083"
"47","Yamanashi","<U+5C71><U+68A8><U+770C>","Kofu","Chubu","Honshu","835,165","4,464.99","187",5,27,"JP-19","055"
